motif,source,count
EEEEEEDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
CCCCCF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
CCCFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
GGBAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
DDDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_rpkm0_n_rpkm20_wg",4
CCAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
DDDDDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_rpkm0_n_rpkm20_wg",4
OAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
AAAAAAAAAEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
EAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
EAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
EEEEEEEEDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
EEEEEEED,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
FFDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
AAAAAEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
FFFFFFFCCCC,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
GBAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
GBAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
FFCCC,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
BBBAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
BBAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
AAAAACCCCC,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
EEEEEEEED,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
FFFFFFFFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GGGGGG,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
FFFFFD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
FFFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
FFFFFFD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEAAA,"FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",3
EEEEEEEEEDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GGEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
OOOAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEEEED,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GBBBAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
